"","target_id","biotype","geneSymbol"
"186","ENSG00000007402.11","protein_coding","CACNA2D2"
"187","ENSG00000007516.13","protein_coding","BAIAP3"
"188","ENSG00000007520.3","protein_coding","TSR3"
"189","ENSG00000007541.16","protein_coding","PIGQ"
"190","ENSG00000007545.15","protein_coding","CRAMP1"
"191","ENSG00000007866.19","protein_coding","TEAD3"
"192","ENSG00000007908.15","protein_coding","SELE"
"193","ENSG00000007923.15","protein_coding","DNAJC11"
"194","ENSG00000007933.12","protein_coding","FMO3"
"195","ENSG00000007944.14","protein_coding","MYLIP"
"196","ENSG00000007952.17","protein_coding","NOX1"
"197","ENSG00000007968.6","protein_coding","E2F2"
"198","ENSG00000008018.8","protein_coding","PSMB1"
"199","ENSG00000008056.13","protein_coding","SYN1"
"200","ENSG00000008083.13","protein_coding","JARID2"
"201","ENSG00000008086.11","protein_coding","CDKL5"
"202","ENSG00000008118.9","protein_coding","CAMK1G"
"203","ENSG00000008128.22","protein_coding","CDK11A"
"204","ENSG00000008130.15","protein_coding","NADK"
"205","ENSG00000008196.12","protein_coding","TFAP2B"
"206","ENSG00000008197.4","protein_coding","TFAP2D"
"207","ENSG00000008226.19","protein_coding","DLEC1"
"208","ENSG00000008256.15","protein_coding","CYTH3"
"209","ENSG00000008277.14","protein_coding","ADAM22"
"210","ENSG00000008282.8","protein_coding","SYPL1"
"211","ENSG00000008283.15","protein_coding","CYB561"
"212","ENSG00000008294.20","protein_coding","SPAG9"
"213","ENSG00000008300.16","protein_coding","CELSR3"
"214","ENSG00000008311.14","protein_coding","AASS"
"215","ENSG00000008323.15","protein_coding","PLEKHG6"
"216","ENSG00000008324.11","protein_coding","SS18L2"
"217","ENSG00000008382.15","protein_coding","MPND"
"218","ENSG00000008394.12","protein_coding","MGST1"
"219","ENSG00000008405.11","protein_coding","CRY1"
"220","ENSG00000008438.4","protein_coding","PGLYRP1"
"221","ENSG00000008441.16","protein_coding","NFIX"
"222","ENSG00000008513.14","protein_coding","ST3GAL1"
"223","ENSG00000008516.16","protein_coding","MMP25"
"224","ENSG00000008517.16","protein_coding","IL32"
"225","ENSG00000008710.19","protein_coding","PKD1"
"226","ENSG00000008735.13","protein_coding","MAPK8IP2"
"227","ENSG00000008838.19","protein_coding","MED24"
"228","ENSG00000008853.16","protein_coding","RHOBTB2"
"229","ENSG00000008869.11","protein_coding","HEATR5B"
"230","ENSG00000008952.16","protein_coding","SEC62"
"231","ENSG00000008988.9","protein_coding","RPS20"
"232","ENSG00000009307.15","protein_coding","CSDE1"
"233","ENSG00000009335.17","protein_coding","UBE3C"
"234","ENSG00000009413.15","protein_coding","REV3L"
"235","ENSG00000009694.13","protein_coding","TENM1"
"236","ENSG00000009709.11","protein_coding","PAX7"
"237","ENSG00000009724.16","protein_coding","MASP2"
"238","ENSG00000009765.14","protein_coding","IYD"
"239","ENSG00000009780.15","protein_coding","FAM76A"
"240","ENSG00000009790.14","protein_coding","TRAF3IP3"
"241","ENSG00000009830.11","protein_coding","POMT2"
"242","ENSG00000009844.15","protein_coding","VTA1"
"243","ENSG00000009950.15","protein_coding","MLXIPL"
"244","ENSG00000009954.10","protein_coding","BAZ1B"
"245","ENSG00000010017.12","protein_coding","RANBP9"
"246","ENSG00000010030.13","protein_coding","ETV7"
"247","ENSG00000010072.15","protein_coding","SPRTN"
"248","ENSG00000010165.19","protein_coding","METTL13"
"249","ENSG00000010219.13","protein_coding","DYRK4"
"250","ENSG00000010244.18","protein_coding","ZNF207"
"251","ENSG00000010256.10","protein_coding","UQCRC1"
"252","ENSG00000010270.13","protein_coding","STARD3NL"
"253","ENSG00000010278.12","protein_coding","CD9"
"254","ENSG00000010282.14","protein_coding","HHATL"
"255","ENSG00000010292.12","protein_coding","NCAPD2"
"256","ENSG00000010295.19","protein_coding","IFFO1"
"257","ENSG00000010310.8","protein_coding","GIPR"
"258","ENSG00000010318.20","protein_coding","PHF7"
"259","ENSG00000010319.6","protein_coding","SEMA3G"
"260","ENSG00000010322.15","protein_coding","NISCH"
"261","ENSG00000010327.10","protein_coding","STAB1"
"262","ENSG00000010361.13","protein_coding","FUZ"
"263","ENSG00000010379.15","protein_coding","SLC6A13"
"264","ENSG00000010404.17","protein_coding","IDS"
"265","ENSG00000010438.16","protein_coding","PRSS3"
"266","ENSG00000010539.11","protein_coding","ZNF200"
"267","ENSG00000010610.9","protein_coding","CD4"
"268","ENSG00000010626.14","protein_coding","LRRC23"
"269","ENSG00000010671.15","protein_coding","BTK"
"270","ENSG00000010704.18","protein_coding","HFE"
"271","ENSG00000010803.16","protein_coding","SCMH1"
"272","ENSG00000010810.17","protein_coding","FYN"
"273","ENSG00000010818.9","protein_coding","HIVEP2"
"274","ENSG00000010932.16","protein_coding","FMO1"
"275","ENSG00000011007.12","protein_coding","ELOA"
"276","ENSG00000011009.10","protein_coding","LYPLA2"
"277","ENSG00000011021.21","protein_coding","CLCN6"
"278","ENSG00000011028.13","protein_coding","MRC2"
"279","ENSG00000011052.21","protein_coding","NME1-NME2"
"280","ENSG00000011083.8","protein_coding","SLC6A7"
"281","ENSG00000011105.12","protein_coding","TSPAN9"
"282","ENSG00000011114.14","protein_coding","BTBD7"
"283","ENSG00000011132.11","protein_coding","APBA3"
"284","ENSG00000011143.16","protein_coding","MKS1"
"285","ENSG00000011198.7","protein_coding","ABHD5"
"286","ENSG00000011201.11","protein_coding","ANOS1"
"287","ENSG00000011243.17","protein_coding","AKAP8L"
"288","ENSG00000011258.15","protein_coding","MBTD1"
"289","ENSG00000011260.13","protein_coding","UTP18"
"290","ENSG00000011275.18","protein_coding","RNF216"
"291","ENSG00000011295.15","protein_coding","TTC19"
"292","ENSG00000011304.19","protein_coding","PTBP1"
"293","ENSG00000011332.19","protein_coding","DPF1"
"294","ENSG00000011347.9","protein_coding","SYT7"
"295","ENSG00000011376.9","protein_coding","LARS2"
"296","ENSG00000011405.13","protein_coding","PIK3C2A"
"297","ENSG00000011422.11","protein_coding","PLAUR"
"298","ENSG00000011426.10","protein_coding","ANLN"
"299","ENSG00000011451.17","protein_coding","WIZ"
"300","ENSG00000011454.16","protein_coding","RABGAP1"
"301","ENSG00000011465.16","protein_coding","DCN"
"302","ENSG00000011478.11","protein_coding","QPCTL"
"303","ENSG00000011485.14","protein_coding","PPP5C"
"304","ENSG00000011523.13","protein_coding","CEP68"
"305","ENSG00000011566.14","protein_coding","MAP4K3"
"306","ENSG00000011590.13","protein_coding","ZBTB32"
"307","ENSG00000011600.11","protein_coding","TYROBP"
"308","ENSG00000011638.10","protein_coding","TMEM159"
"309","ENSG00000011677.12","protein_coding","GABRA3"
"310","ENSG00000012048.20","protein_coding","BRCA1"
"311","ENSG00000012061.15","protein_coding","ERCC1"
"312","ENSG00000012124.16","protein_coding","CD22"
"313","ENSG00000012171.19","protein_coding","SEMA3B"
"314","ENSG00000012174.11","protein_coding","MBTPS2"
"315","ENSG00000012211.12","protein_coding","PRICKLE3"
"316","ENSG00000012223.12","protein_coding","LTF"
"317","ENSG00000012232.8","protein_coding","EXTL3"
"318","ENSG00000012504.13","protein_coding","NR1H4"
"319","ENSG00000012660.13","protein_coding","ELOVL5"
"320","ENSG00000012779.10","protein_coding","ALOX5"
"321","ENSG00000012817.15","protein_coding","KDM5D"
"322","ENSG00000012822.15","protein_coding","CALCOCO1"
"323","ENSG00000012963.14","protein_coding","UBR7"
"324","ENSG00000012983.11","protein_coding","MAP4K5"
"325","ENSG00000013016.15","protein_coding","EHD3"
"326","ENSG00000013275.7","protein_coding","PSMC4"
"327","ENSG00000013288.8","protein_coding","MAN2B2"
"328","ENSG00000013293.5","protein_coding","SLC7A14"
"329","ENSG00000013297.10","protein_coding","CLDN11"
"330","ENSG00000013306.15","protein_coding","SLC25A39"
"331","ENSG00000013364.18","protein_coding","MVP"
"332","ENSG00000013374.15","protein_coding","NUB1"
"333","ENSG00000013375.15","protein_coding","PGM3"
"334","ENSG00000013392.7","protein_coding","RWDD2A"
"335","ENSG00000013441.15","protein_coding","CLK1"
"336","ENSG00000013503.9","protein_coding","POLR3B"
"337","ENSG00000013523.9","protein_coding","ANGEL1"
"338","ENSG00000013561.17","protein_coding","RNF14"
"339","ENSG00000013563.13","protein_coding","DNASE1L1"
"340","ENSG00000013573.16","protein_coding","DDX11"
"341","ENSG00000013583.8","protein_coding","HEBP1"
"342","ENSG00000013588.7","protein_coding","GPRC5A"
"343","ENSG00000013619.13","protein_coding","MAMLD1"
"344","ENSG00000013725.14","protein_coding","CD6"
"345","ENSG00000013810.18","protein_coding","TACC3"
"346","ENSG00000014123.9","protein_coding","UFL1"
"347","ENSG00000014138.8","protein_coding","POLA2"
"348","ENSG00000014164.6","protein_coding","ZC3H3"
"349","ENSG00000014216.15","protein_coding","CAPN1"
"350","ENSG00000014257.15","protein_coding","ACPP"
"351","ENSG00000014641.17","protein_coding","MDH1"
"352","ENSG00000014824.13","protein_coding","SLC30A9"
"353","ENSG00000014914.20","protein_coding","MTMR11"
"354","ENSG00000014919.12","protein_coding","COX15"
"355","ENSG00000015133.18","protein_coding","CCDC88C"
"356","ENSG00000015153.14","protein_coding","YAF2"
"357","ENSG00000015171.19","protein_coding","ZMYND11"
"358","ENSG00000015285.10","protein_coding","WAS"
"359","ENSG00000015413.9","protein_coding","DPEP1"
"360","ENSG00000015475.18","protein_coding","BID"
"361","ENSG00000015479.18","protein_coding","MATR3"
"362","ENSG00000015520.14","protein_coding","NPC1L1"
"363","ENSG00000015532.9","protein_coding","XYLT2"
"364","ENSG00000015568.12","protein_coding","RGPD5"
"365","ENSG00000015592.16","protein_coding","STMN4"
"366","ENSG00000015676.17","protein_coding","NUDCD3"
"367","ENSG00000016082.14","protein_coding","ISL1"
"368","ENSG00000016391.10","protein_coding","CHDH"
"369","ENSG00000016402.13","protein_coding","IL20RA"
"370","ENSG00000016490.15","protein_coding","CLCA1"
"371","ENSG00000016602.9","protein_coding","CLCA4"
"372","ENSG00000016864.18","protein_coding","GLT8D1"
"373","ENSG00000017260.19","protein_coding","ATP2C1"
"374","ENSG00000017427.15","protein_coding","IGF1"
"375","ENSG00000017483.14","protein_coding","SLC38A5"
"376","ENSG00000017797.12","protein_coding","RALBP1"
"377","ENSG00000018189.12","protein_coding","RUFY3"
"378","ENSG00000018236.14","protein_coding","CNTN1"
"379","ENSG00000018280.16","protein_coding","SLC11A1"
"380","ENSG00000018408.14","protein_coding","WWTR1"
"381","ENSG00000018510.13","protein_coding","AGPS"
"382","ENSG00000018607.6","unprocessed_pseudogene","ZNF806"
"383","ENSG00000018610.13","protein_coding","CXorf56"
"384","ENSG00000018625.14","protein_coding","ATP1A2"
"385","ENSG00000018699.11","protein_coding","TTC27"
"386","ENSG00000018869.16","protein_coding","ZNF582"
"387","ENSG00000019102.11","protein_coding","VSIG2"
"388","ENSG00000019144.18","protein_coding","PHLDB1"
"389","ENSG00000019169.10","protein_coding","MARCO"
"390","ENSG00000019186.9","protein_coding","CYP24A1"
"391","ENSG00000019485.13","protein_coding","PRDM11"
"392","ENSG00000019505.7","protein_coding","SYT13"
"393","ENSG00000019549.9","protein_coding","SNAI2"
"394","ENSG00000019582.14","protein_coding","CD74"
"395","ENSG00000019991.15","protein_coding","HGF"
"396","ENSG00000019995.6","protein_coding","ZRANB1"
"397","ENSG00000020129.15","protein_coding","NCDN"
"398","ENSG00000020181.17","protein_coding","ADGRA2"
"399","ENSG00000020219.9","processed_pseudogene","CCT8L1P"
"400","ENSG00000020256.19","protein_coding","ZFP64"
"401","ENSG00000020426.10","protein_coding","MNAT1"
"402","ENSG00000020577.13","protein_coding","SAMD4A"
"403","ENSG00000020633.18","protein_coding","RUNX3"
"404","ENSG00000020922.12","protein_coding","MRE11"
"405","ENSG00000021300.13","protein_coding","PLEKHB1"
"406","ENSG00000021355.12","protein_coding","SERPINB1"
"407","ENSG00000021461.16","protein_coding","CYP3A43"
"408","ENSG00000021488.12","protein_coding","SLC7A9"
"409","ENSG00000021574.11","protein_coding","SPAST"
"410","ENSG00000021645.18","protein_coding","NRXN3"
"411","ENSG00000021762.19","protein_coding","OSBPL5"
"412","ENSG00000021776.10","protein_coding","AQR"
"413","ENSG00000021826.14","protein_coding","CPS1"
"414","ENSG00000021852.12","protein_coding","C8B"
"415","ENSG00000022267.16","protein_coding","FHL1"
"416","ENSG00000022277.12","protein_coding","RTFDC1"
"417","ENSG00000022355.16","protein_coding","GABRA1"
"418","ENSG00000022556.15","protein_coding","NLRP2"
"419","ENSG00000022567.9","protein_coding","SLC45A4"
"420","ENSG00000022840.15","protein_coding","RNF10"
"421","ENSG00000022976.15","protein_coding","ZNF839"
"422","ENSG00000023041.11","protein_coding","ZDHHC6"
"423","ENSG00000023171.16","protein_coding","GRAMD1B"
"424","ENSG00000023191.16","protein_coding","RNH1"
"425","ENSG00000023228.13","protein_coding","NDUFS1"
"426","ENSG00000023287.12","protein_coding","RB1CC1"
"427","ENSG00000023318.7","protein_coding","ERP44"
"428","ENSG00000023330.14","protein_coding","ALAS1"
"429","ENSG00000023445.13","protein_coding","BIRC3"
"430","ENSG00000023516.8","protein_coding","AKAP11"
"431","ENSG00000023572.8","protein_coding","GLRX2"
"432","ENSG00000023608.4","protein_coding","SNAPC1"
"433","ENSG00000023697.12","protein_coding","DERA"
"434","ENSG00000023734.10","protein_coding","STRAP"
"435","ENSG00000023839.10","protein_coding","ABCC2"
"436","ENSG00000023892.10","protein_coding","DEF6"
"437","ENSG00000023902.13","protein_coding","PLEKHO1"
"438","ENSG00000023909.9","protein_coding","GCLM"
"439","ENSG00000024048.10","protein_coding","UBR2"
"440","ENSG00000024422.11","protein_coding","EHD2"
"441","ENSG00000024526.16","protein_coding","DEPDC1"
"442","ENSG00000024862.17","protein_coding","CCDC28A"
"443","ENSG00000025039.14","protein_coding","RRAGD"
"444","ENSG00000025156.12","protein_coding","HSF2"
"445","ENSG00000025293.16","protein_coding","PHF20"
"446","ENSG00000025423.11","protein_coding","HSD17B6"
"447","ENSG00000025434.18","protein_coding","NR1H3"
"448","ENSG00000025708.13","protein_coding","TYMP"
"449","ENSG00000025770.18","protein_coding","NCAPH2"
"450","ENSG00000025772.7","protein_coding","TOMM34"
"451","ENSG00000025796.13","protein_coding","SEC63"
"452","ENSG00000025800.13","protein_coding","KPNA6"
"453","ENSG00000026025.15","protein_coding","VIM"
"454","ENSG00000026036.21","protein_coding","RTEL1-TNFRSF6B"
"455","ENSG00000026103.21","protein_coding","FAS"
"456","ENSG00000026297.15","protein_coding","RNASET2"
"457","ENSG00000026508.17","protein_coding","CD44"
"458","ENSG00000026559.13","protein_coding","KCNG1"
"459","ENSG00000026652.13","protein_coding","AGPAT4"
"460","ENSG00000026751.16","protein_coding","SLAMF7"
"461","ENSG00000026950.16","protein_coding","BTN3A1"
"462","ENSG00000027001.9","protein_coding","MIPEP"
"463","ENSG00000027075.14","protein_coding","PRKCH"
"464","ENSG00000027644.4","protein_coding","INSRR"
"465","ENSG00000027697.13","protein_coding","IFNGR1"
"466","ENSG00000027847.13","protein_coding","B4GALT7"
"467","ENSG00000027869.11","protein_coding","SH2D2A"
"468","ENSG00000028116.16","protein_coding","VRK2"
"469","ENSG00000028137.18","protein_coding","TNFRSF1B"
"470","ENSG00000028203.17","protein_coding","VEZT"
"471","ENSG00000028277.21","protein_coding","POU2F2"
"472","ENSG00000028310.17","protein_coding","BRD9"
"473","ENSG00000028528.14","protein_coding","SNX1"
"474","ENSG00000028839.9","protein_coding","TBPL1"
"475","ENSG00000029153.14","protein_coding","ARNTL2"
"476","ENSG00000029363.16","protein_coding","BCLAF1"
"477","ENSG00000029364.11","protein_coding","SLC39A9"
"478","ENSG00000029534.19","protein_coding","ANK1"
"479","ENSG00000029559.6","protein_coding","IBSP"
"480","ENSG00000029639.10","protein_coding","TFB1M"
"481","ENSG00000029725.16","protein_coding","RABEP1"
"482","ENSG00000029993.14","protein_coding","HMGB3"
"483","ENSG00000030066.13","protein_coding","NUP160"
"484","ENSG00000030110.12","protein_coding","BAK1"
"485","ENSG00000030304.13","protein_coding","MUSK"
"486","ENSG00000030419.16","protein_coding","IKZF2"
"487","ENSG00000030582.17","protein_coding","GRN"
"488","ENSG00000031003.10","protein_coding","FAM13B"
"489","ENSG00000031081.10","protein_coding","ARHGAP31"
"490","ENSG00000031691.6","protein_coding","CENPQ"
"491","ENSG00000031698.12","protein_coding","SARS"
"492","ENSG00000031823.14","protein_coding","RANBP3"
"493","ENSG00000032219.18","protein_coding","ARID4A"
"494","ENSG00000032389.12","protein_coding","EIPR1"
"495","ENSG00000032444.15","protein_coding","PNPLA6"
"496","ENSG00000032742.17","protein_coding","IFT88"
"497","ENSG00000033011.11","protein_coding","ALG1"
"498","ENSG00000033030.13","protein_coding","ZCCHC8"
"499","ENSG00000033050.7","protein_coding","ABCF2"
"500","ENSG00000033100.16","protein_coding","CHPF2"
"501","ENSG00000033122.18","protein_coding","LRRC7"
"502","ENSG00000033170.16","protein_coding","FUT8"
"503","ENSG00000033178.12","protein_coding","UBA6"
"504","ENSG00000033327.12","protein_coding","GAB2"
"505","ENSG00000033627.16","protein_coding","ATP6V0A1"
"506","ENSG00000033800.13","protein_coding","PIAS1"
"507","ENSG00000033867.16","protein_coding","SLC4A7"
"508","ENSG00000034053.14","protein_coding","APBA2"
"509","ENSG00000034152.18","protein_coding","MAP2K3"
"510","ENSG00000034239.10","protein_coding","EFCAB1"
"511","ENSG00000034510.5","protein_coding","TMSB10"
"512","ENSG00000034533.11","protein_coding","ASTE1"
"513","ENSG00000034677.12","protein_coding","RNF19A"
"514","ENSG00000034693.14","protein_coding","PEX3"
"515","ENSG00000034713.7","protein_coding","GABARAPL2"
"516","ENSG00000034971.16","protein_coding","MYOC"
"517","ENSG00000035115.21","protein_coding","SH3YL1"
"518","ENSG00000035141.7","protein_coding","FAM136A"
